513063	2	0	Duck (5 Suits)	2021-04-26 — 13:44:25 UTC	Aluap, Animex52	31	5	25
512606	4	0	Brown-Ones & White (5 Suits)	2021-04-25 — 21:50:53 UTC	Aluap, antitelharsic, HelanaAshryvr, melwen	2	5	25
512576	4	0	Pink & White (3 Suits)	2021-04-25 — 21:21:38 UTC	Aluap, antitelharsic, HelanaAshryvr, melwen	2	3	15
512569	4	0	Pink & White (3 Suits)	2021-04-25 — 21:10:14 UTC	Aluap, antitelharsic, HelanaAshryvr, melwen	3	3	15
512542	4	0	Pink & White (3 Suits)	2021-04-25 — 20:53:21 UTC	Aluap, antitelharsic, HelanaAshryvr, melwen	3	3	15
512529	4	13	Pink & White (3 Suits)	2021-04-25 — 20:41:03 UTC	Aluap, antitelharsic, HelanaAshryvr, melwen	3	3	15
512270	3	25	White-Fives & Pink (5 Suits)	2021-04-25 — 16:08:56 UTC	Aluap, Pablo-, sin_faith	3	5	25
512257	2	15	Duck (4 Suits)	2021-04-25 — 15:50:08 UTC	Aluap, sin_faith	18	4	20
512249	2	0	Duck (4 Suits)	2021-04-25 — 15:36:19 UTC	Aluap, sin_faith	24	4	20
512001	3	23	Rainbow (5 Suits)	2021-04-25 — 05:29:05 UTC	Aluap, antitelharsic, whensepoop	8	5	25
511961	3	0	Rainbow (5 Suits)	2021-04-25 — 05:02:17 UTC	Aluap, antitelharsic, whensepoop	8	5	25
511921	3	25	Rainbow (5 Suits)	2021-04-25 — 04:45:46 UTC	Aluap, antitelharsic, whensepoop	8	5	25
511870	3	0	Rainbow (5 Suits)	2021-04-25 — 04:09:44 UTC	Aluap, antitelharsic, whensepoop	9	5	25
511351	2	25	No Variant	2021-04-24 — 17:13:10 UTC	Aluap, David925	221	5	25
511348	2	20	No Variant	2021-04-24 — 17:04:44 UTC	Aluap, David925	226	5	25
511293	4	20	Muddy-Rainbow-Ones & Pink (4 Suits)	2021-04-24 — 14:41:53 UTC	Aluap, bob65536, ChristopheAF, HelanaAshryvr	1	4	20
511288	2	27	Black & Dark Prism (6 Suits)	2021-04-24 — 14:23:37 UTC	Aluap, HelanaAshryvr	6	6	30
511283	2	22	Black & Dark Prism (6 Suits)	2021-04-24 — 14:05:14 UTC	Aluap, HelanaAshryvr	7	6	30
511229	5	0	Black & Brown (5 Suits)	2021-04-24 — 11:54:13 UTC	Aluap, Animex52, aquarelle, MalachiteMoa, mystus	6	5	25
511222	5	0	Black & Brown (5 Suits)	2021-04-24 — 11:27:26 UTC	Aluap, Animex52, aquarelle, MalachiteMoa, mystus	7	5	25
511032	5	30	Muddy Rainbow (6 Suits)	2021-04-24 — 04:05:14 UTC	Aluap, kinkajusrevenge, scharkbite, timotree, wolfpack	5	6	30
510970	4	23	Pink (5 Suits)	2021-04-24 — 03:25:29 UTC	Aluap, duckless, kinkajusrevenge, timotree	69	5	25
510943	3	25	Brown (5 Suits)	2021-04-24 — 02:58:57 UTC	Aluap, kinkajusrevenge, timotree	31	5	25
510833	2	21	No Variant	2021-04-24 — 00:57:00 UTC	Aluap, David925	226	5	25
510815	2	0	No Variant	2021-04-24 — 00:48:42 UTC	Aluap, David925	233	5	25
510806	2	24	No Variant	2021-04-24 — 00:45:42 UTC	Aluap, David925	234	5	25
510788	2	0	No Variant	2021-04-24 — 00:38:05 UTC	Aluap, David925	238	5	25
510785	2	22	No Variant	2021-04-24 — 00:37:16 UTC	Aluap, David925	250	5	25
510157	5	30	White-Ones & Pink (6 Suits)	2021-04-23 — 11:37:06 UTC	Aluap, indego, Lanvin, Lel0uch, Wittvector	1	6	30
509674	2	0	No Variant	2021-04-22 — 22:28:26 UTC	Aluap, David925	253	5	25
509669	2	22	No Variant	2021-04-22 — 22:21:24 UTC	Aluap, David925	258	5	25
509662	2	0	No Variant	2021-04-22 — 22:09:21 UTC	Aluap, David925	263	5	25
509659	2	0	No Variant	2021-04-22 — 22:06:30 UTC	Aluap, David925	262	5	25
509548	4	26	Up or Down & Prism (6 Suits)	2021-04-22 — 20:05:30 UTC	Aluap, IsabeltheCat, newduke, nkkarpov	7	6	30
509493	3	19	Brown (4 Suits)	2021-04-22 — 19:20:02 UTC	Aluap, IsabeltheCat, newduke	47	4	20
509476	5	22	White-Ones (5 Suits)	2021-04-22 — 18:58:07 UTC	Aluap, IsabeltheCat, MangoPie, Meowie, Wittvector	4	5	25
509447	3	0	Brown & Prism (5 Suits)	2021-04-22 — 18:28:07 UTC	Aluap, MangoPie, Wittvector	9	5	25
509193	3	25	Gray (5 Suits)	2021-04-22 — 05:32:41 UTC	Aluap, Animex52, antitelharsic	11	5	25
509179	3	0	Gray (5 Suits)	2021-04-22 — 05:11:36 UTC	Aluap, Animex52, antitelharsic	11	5	25
509171	3	21	Gray (5 Suits)	2021-04-22 — 04:59:29 UTC	Aluap, Animex52, antitelharsic	12	5	25
509151	3	23	Gray (5 Suits)	2021-04-22 — 04:28:23 UTC	Aluap, Animex52, antitelharsic	13	5	25
509133	3	22	Gray (5 Suits)	2021-04-22 — 04:01:57 UTC	Aluap, Animex52, antitelharsic	18	5	25
509113	3	0	Gray (5 Suits)	2021-04-22 — 03:37:49 UTC	Aluap, Animex52, antitelharsic	36	5	25
509100	3	0	Gray (5 Suits)	2021-04-22 — 03:22:27 UTC	Aluap, Animex52, antitelharsic	39	5	25
509093	3	22	Gray (5 Suits)	2021-04-22 — 03:11:29 UTC	Aluap, antitelharsic, squirrel1988	44	5	25
508981	4	0	Dark Prism (6 Suits)	2021-04-22 — 01:02:21 UTC	Aluap, IsabeltheCat, rz, VBVBVBVB	23	6	30
508959	4	15	Rainbow (3 Suits)	2021-04-22 — 00:37:55 UTC	Aluap, IsabeltheCat, rz, VBVBVBVB	15	3	15
508940	6	30	White-Ones & Rainbow (6 Suits)	2021-04-22 — 00:20:48 UTC	Aluap, bjnh, IsabeltheCat, Lanvin, Lel0uch, melwen	1	6	30
507439	3	21	Gray Pink (5 Suits)	2021-04-20 — 10:37:18 UTC	Aluap, cockdestroyer, Wittvector	3	5	25
507433	3	0	Gray Pink (5 Suits)	2021-04-20 — 10:23:43 UTC	Aluap, cockdestroyer, Wittvector	3	5	25
507427	3	0	Gray Pink (5 Suits)	2021-04-20 — 10:18:16 UTC	Aluap, cockdestroyer, Wittvector	4	5	25
507420	3	0	Gray Pink (5 Suits)	2021-04-20 — 10:08:58 UTC	Aluap, cockdestroyer, Wittvector	10	5	25
507409	5	0	Gray (5 Suits)	2021-04-20 — 09:57:26 UTC	Aluap, cockdestroyer, indego, robense, Wittvector	7	5	25
507402	5	0	White & Dark Omni (6 Suits)	2021-04-20 — 09:41:26 UTC	Aluap, cockdestroyer, indego, Lel0uch, squirrel1988	2	6	30
