428365	3	23	Light-Pink-Fives & Dark Pink (5 Suits)	2021-02-07 — 00:35:39 UTC	Lanvin, MarkusKahlsen, padi	2	5	25
428341	4	0	Omni-Ones & Black (6 Suits)	2021-02-07 — 00:04:40 UTC	Doge, Lanvin, MarkusKahlsen, padi	1	6	30
428295	3	0	Omni-Ones & Black (6 Suits)	2021-02-06 — 23:50:33 UTC	Doge, Lanvin, padi	1	6	30
423308	4	23	Pink & White (5 Suits)	2021-02-02 — 21:29:37 UTC	CaitlinSmith, ksfortson, newduke, padi	2	5	25
423261	4	0	Pink & White (5 Suits)	2021-02-02 — 20:57:05 UTC	CaitlinSmith, ksfortson, newduke, padi	2	5	25
423246	5	0	Black (5 Suits)	2021-02-02 — 20:44:04 UTC	CaitlinSmith, eljavi, ksfortson, newduke, padi	9	5	25
423236	5	0	Black (5 Suits)	2021-02-02 — 20:37:34 UTC	CaitlinSmith, eljavi, ksfortson, newduke, padi	9	5	25
423217	5	22	Black (5 Suits)	2021-02-02 — 20:17:40 UTC	CaitlinSmith, eljavi, ksfortson, newduke, padi	13	5	25
422587	5	0	Rainbow & Muddy Rainbow (5 Suits)	2021-02-02 — 01:21:44 UTC	dobi, kimbifille, melwen, padi, Zamiel	1	5	25
422566	4	0	Pink & Cocoa Rainbow (5 Suits)	2021-02-02 — 01:01:02 UTC	dobi, kimbifille, padi, Zamiel	3	5	25
422560	4	0	Pink & Cocoa Rainbow (5 Suits)	2021-02-02 — 00:53:37 UTC	dobi, kimbifille, padi, Zamiel	4	5	25
422555	3	0	Pink & Cocoa Rainbow (5 Suits)	2021-02-02 — 00:45:48 UTC	kimbifille, padi, Zamiel	3	5	25
422547	3	0	Pink & Cocoa Rainbow (5 Suits)	2021-02-02 — 00:39:51 UTC	kimbifille, padi, Zamiel	7	5	25
422535	3	0	Pink & Null (3 Suits)	2021-02-02 — 00:27:26 UTC	kimbifille, padi, Zamiel	1	3	15
419534	6	30	Black & Pink (6 Suits)	2021-01-30 — 04:46:33 UTC	dobi, indego, Lel0uch, melwen, padi, scharkbite	2	6	30
419484	3	0	Rainbow & Gray (5 Suits)	2021-01-30 — 04:21:56 UTC	dobi, melwen, padi	11	5	25
407904	3	20	White (4 Suits)	2021-01-18 — 21:53:13 UTC	Daryl, padi, rachyrules	59	4	20
407876	2	25	No Variant	2021-01-18 — 21:34:34 UTC	padi, rachyrules	21	5	25
407871	2	0	No Variant	2021-01-18 — 21:32:20 UTC	padi, rachyrules	21	5	25
407870	2	0	No Variant	2021-01-18 — 21:30:40 UTC	padi, rachyrules	21	5	25
407867	2	0	No Variant	2021-01-18 — 21:29:56 UTC	padi, rachyrules	21	5	25
407862	2	0	No Variant	2021-01-18 — 21:28:17 UTC	padi, rachyrules	21	5	25
407859	2	0	No Variant	2021-01-18 — 21:26:19 UTC	padi, rachyrules	21	5	25
394158	3	0	Omni & Gray (6 Suits)	2021-01-06 — 03:25:48 UTC	doctorabi, hakha3, padi	6	6	30
394119	4	30	Up or Down & Brown (6 Suits)	2021-01-06 — 02:37:30 UTC	doctorabi, hakha3, Lel0uch, padi	9	6	30
